Euler Explicito 
0.0000000000 0.0000000000
0.2500000000 30.0000000000
0.5000000000 -45.0000000000
0.7500000000 37.5000000000
1.0000000000 -56.2500000000
1.2500000000 114.3750000000
1.5000000000 -171.5625000000
1.7500000000 227.3437500000
2.0000000000 -341.0156250000
2.2500000000 541.5234375000
2.5000000000 -812.2851562500
2.7500000000 1188.4277343750
3.0000000000 -1782.6416015625
3.2500000000 2703.9624023438
3.5000000000 -4055.9436035156
3.7500000000 6053.9154052734
4.0000000000 -9080.8731079102
4.2500000000 13651.3096618652
4.5000000000 -20476.9644927979
4.7500000000 30685.4467391968
5.0000000000 -46028.1701087952

Euler Implicito 
0.0000000000 0.0000000000
0.2500000000 0.0000000000
0.5000000000 -8.5714285714
0.7500000000 -2.4489795918
1.0000000000 7.8717201166
1.2500000000 2.2490628905
1.5000000000 -7.9288391742
1.7500000000 -2.2653826212
2.0000000000 7.9241763939
2.2500000000 2.2640503983
2.5000000000 -7.9245570291
2.7500000000 -2.2641591512
3.0000000000 7.9245259568
3.2500000000 2.2641502734
3.5000000000 -7.9245284933
3.7500000000 -2.2641509981
4.0000000000 7.9245282863
4.2500000000 2.2641509389
4.5000000000 -7.9245283032
4.7500000000 -2.2641509438
5.0000000000 7.9245283018

BDF2 
0.0000000000 0.0000000000
0.2500000000 30.0000000000
0.5000000000 7.5000000000
0.7500000000 -0.0000000000
1.0000000000 6.5625000000
1.2500000000 3.2812500000
1.5000000000 -6.6796875000
1.7500000000 -3.7500000000
2.0000000000 6.4599609375
2.2500000000 3.6987304688
2.5000000000 -6.4581298828
2.7500000000 -3.6914062500
3.0000000000 6.4615631104
3.2500000000 3.6922073364
3.5000000000 -6.4615917206
3.7500000000 -3.6923217773
4.0000000000 6.4615380764
4.2500000000 3.6923092604
4.5000000000 -6.4615376294
4.7500000000 -3.6923074722
5.0000000000 6.4615384676

Adams Bashford 2 
0.0000000000 0.0000000000
0.2500000000 30.0000000000
0.5000000000 -97.5000000000
0.7500000000 260.6250000000
1.0000000000 -823.5937500000
1.2500000000 2635.6640625000
1.5000000000 -8292.5683593750
1.7500000000 26054.1430664062
2.0000000000 -81999.6038818359
2.2500000000 258111.5895080566
2.5000000000 -812321.3759994507
2.7500000000 2556478.2708835602
3.0000000000 -8045701.9649291039
3.2500000000 25321323.2421594858
3.5000000000 -79690781.3720999658
3.7500000000 250801257.8259742558
4.0000000000 -789316920.7365542650
4.2500000000 2484123149.3079919815
4.5000000000 -7817984826.5176687241
4.7500000000 24604612164.5585746765
5.0000000000 -77435164470.6831665039

Adams Moulton 2 
0.0000000000 0.0000000000
0.2500000000 30.0000000000
0.5000000000 -17.1428571429
0.7500000000 -1.1370262391
1.0000000000 5.9689415125
1.2500000000 7.7308531552
1.5000000000 -9.2622233249
1.7500000000 -5.9826563475
2.0000000000 8.3553343864
2.2500000000 6.4571707771
2.5000000000 -8.6028175613
2.7500000000 -6.3279401048
3.0000000000 8.5353664055
3.2500000000 6.3631517753
3.5000000000 -8.5537468648
3.7500000000 -6.3535569650
4.0000000000 8.5487383085
4.2500000000 6.3561714743
4.5000000000 -8.5501031030
4.7500000000 -6.3554590404
5.0000000000 8.5497312068

Trapezio Implicito 
0.0000000000 0.0000000000
0.2500000000 6.6666666667
0.5000000000 -7.4074074074
0.7500000000 -5.8436213992
1.0000000000 7.3159579332
1.2500000000 5.8537824519
1.5000000000 -7.3170869391
1.7500000000 -5.8536570068
2.0000000000 7.3170730008
2.2500000000 5.8536585555
2.5000000000 -7.3170731728
2.7500000000 -5.8536585364
3.0000000000 7.3170731707
3.2500000000 5.8536585366
3.5000000000 -7.3170731707
3.7500000000 -5.8536585366
4.0000000000 7.3170731707
4.2500000000 5.8536585366
4.5000000000 -7.3170731707
4.7500000000 -5.8536585366
5.0000000000 7.3170731707

